Product Name,Product URL,Rating,Country,Category Name,Category URL,ASIN,No. of Reviews,Retailer Category,Brand,Feature Bullets,Prime Flag,Product Image,Secondary Images,Climate Pledge Friendly,Product Specifications,List Price,Final Price,Product Color,Product Description,Product Style
"Black Disposable Face Masks, 100 Pack Black Face Masks 3 Ply Filter Protection",https://www.amazon.com/ZTANPS-Face-Mask-Disposable-Women/dp/B09TKDCP5G,4.7,US,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Tools-Home-Improvement/zgbs/hi/ref=zg_bs_nav_0,B09B6V9Q8J,58002,Tools & Home Improvement > Safety & Security > Personal Protective Equipment > Masks & Respirators > Safety Masks,ZTANPS,"Adjustable closure | Face mask,Three layers of protection, made of melt-spray filter layer and non-woven fabric. | Black disposable face mask,Surface is evenly covered with air pores, good breathability. | Black mask,Adjustable soft nose clip design fits the face better. providing you with comfortable wearing experience. | Disposable face masks,breathing space that meets the needs of different facial contours, and can be used by students and adults. | Black face mask,Suitable for most public places and provides protection for your travel.",Yes - Fulfilled,https://m.media-amazon.com/images/I/71FIeKwQ40L._AC_UX342_.jpg,https://m.media-amazon.com/images/I/71uuHvtReEL._AC_UX342_.jpg | https://m.media-amazon.com/images/I/81YYzTC3oSL._AC_UX342_.jpg | https://m.media-amazon.com/images/I/71JDsNbKEbL._AC_UX342_.jpg | https://m.media-amazon.com/images/I/719jLoVBFUL._AC_UX342_.jpg | https://m.media-amazon.com/images/I/719ZmP7DsFL._AC_UX342_.jpg,NO,"Size: Large | Style: Comfortable,disposable | Brand: ZTANPS | Color: Black-100pcs | Closure Type: Adjustable | Reusability: Disposable",$14.99 ,$6.74 ,Black-100pcs,,
Household Essentials Hinge IT Premium Carriage House Handle & Hinge 6 pc. Black Garage Door Magnet,https://www.amazon.com/Household-Essentials-Premium-Carriage-Handle/dp/B07F1HS546,4.8,US,"Tools & Home Improvement > Building Supplies > Building Materials > Doors > Garage Doors, Openers & Parts > Garage Doors",https://www.amazon.com/Best-Sellers-Tools-Home-Improvement-Garage-Doors/zgbs/hi/13398391/ref=zg_bs_nav_hi_5_6482937011,B07F1HS546,23350,"Tools & Home Improvement > Building Supplies > Building Materials > Doors > Garage Doors, Openers & Parts > Garage Doors",Household Essentials,Decorative magnetic garage hinges and handles create the look of real carriage house doors on 1 and 2-car garages | Larger size and textured for authenticity | Enhance curb appeal and instantly upgrade steel garage doors without damaging the door | UV and weather resistant plastic resists fading and weather | Measurements: (4) hinges 16. 5L x 2. 5W/(2) handles 11. 25L x 1. 5W x 1. 5D,Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/81DLIOU6QSL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/71B6nFV5DNL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71UgONIHfIL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ULr-d8pQL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/812fz242GLL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81pjn8sXlWL._AC_SY355_.jpg,NO,Brand: Household Essentials | Color: Black | Material: Plastic | Style: Premium Hinges | Item Weight: 1.6 Pounds,,$24.00 ,,Instant curb appeal with garage door magnets that make plain steel garage doors look like a fancy carriage house door! strong magnets hold tight through all seasons. Made from UV-resistant plastic to resist fading. Textured for even better authenticity! no drilling required. Attaches to steel doors with magnets. Affordable way to upgrade garage doors and dress up the house.,Premium Hinges
"Philips Norelco OneBlade Replacement Blade, 1 Count, QP210/80",https://www.amazon.com/Philips-Norelco-Replacement-QP210-80/dp/B01D328COC,4.8,US,Tools & Home Improvement > Power & Hand Tools,https://www.amazon.com/Best-Sellers-Tools-Home-Improvement-Power-Tools-Hand-Tools/zgbs/hi/328182011/ref=zg_bs_nav_hi_1,B01D328COC,58332,Beauty & Personal Care > Shave & Hair Removal > Men's > Razors & Blades > Cartridges & Refills,Philips Norelco,"One blade lasts up to 4 months. (For best shaving experience. Based on 2 full shaves per week. Actual results may vary.) | Trims, edges, and shaves any length of hair | Glide coating and rounded tips protect your skin; not too close for a comfortable shave | Use dry or wet with foam, even in the shower | Powers through even the longest hair | Includes: 1 Replacement blade",Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/71KjqdmI0yL._SY355_.jpg,https://m.media-amazon.com/images/I/819CaONlybL._SY355_.jpg | https://m.media-amazon.com/images/I/61O4UmjnT-L._SX355_.jpg | https://m.media-amazon.com/images/I/71-ZMywq6dL._SY355_.jpg | https://m.media-amazon.com/images/I/81at4EWMCVL._SY355_.jpg | https://m.media-amazon.com/images/I/71-cmWlo1qL._SY355_.jpg | https://m.media-amazon.com/images/I/71rZVm0lclL._SY355_.jpg | https://m.media-amazon.com/images/I/81h-BMbtmML._SY355_.jpg,NO,Brand: Philips Norelco | Number of Pieces: 1 | Number of Blades: 1 | Age Range (Description): Adult,,$13.46 ,,"The Philips Norelco OneBlade replacement blade trims, edges and shaves any length of hair. The unique OneBlade shaving technology integrates a fast moving cutter (200x per second) with a dual protection system to give you an efficient comfortable shave on longer hairs. OneBlade does not shave too close, so your skin stays comfortable. The replacement blade lasts up to 4 months (For best shaving experience. Based on 2 full shaves per week. Actual results may vary).",OneBlade
WEN Electric Detailing Palm Sander & 6301SP120 Detailing Palm Sander 120-Grit Hook & Loop Sandpaper (10 Pack),https://www.amazon.com/WEN-Electric-Detailing-6301SP120-Sandpaper/dp/B09VSSXJ9V,4.6,US,Tools & Home Improvement > Power & Hand Tools > Power Tools > Powder-Actuated Tools,https://www.amazon.com/Best-Sellers-Tools-Home-Improvement-Powder-Actuated-Tools/zgbs/hi/9022408011/ref=zg_bs_nav_hi_3_551236,B09VSSXJ9V,2386,Power Tool Parts & Accessories > Power Finishing Tool Parts & Accessories > Power Sander Parts & Accessories > Sanding Discs > Hook & Loop Discs,WEN,"| Product 1: Features a 3.75 x 5.5 inch pad with an angled tip for precision work | Product 1: Powerful one-amp motor provides 13,500 OPM | Product 1: Lightweight design weighs in at a mere two pounds | Product 1: Dust collection port helps minimize loose sawdust | Product 2: Hook-and-loop backing makes for easy installation and removal | Product 2: Includes ten pieces of 120-grit sandpaper | Product 2: Designed to work with the WEN 6301 Electric Palm Sander | Product 2: Perfect for material removal and resurfacing",Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/41vG6y3Pj1L._AC_SY355_.jpg,https://m.media-amazon.com/images/I/91mfdZy1g5L._AC_SX355_.jpg | https://m.media-amazon.com/images/I/914rcbXN59L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81YUQehEAeL._AC_SX355_.jpg | https://m.media-amazon.com/images/I/913+0JXVshL._AC_SX355_.jpg | https://m.media-amazon.com/images/I/81r3F2rznRL._AC_SX355_.jpg | https://m.media-amazon.com/images/I/91X30b1qsLL._AC_SY355_.jpg,NO,Brand: WEN | Voltage: 120 Volts | Amperage Capacity: 1 Amps | Grit Number: 120,,$29.26 ,,"WEN Electric Detailing Palm Sander Remember when you had smooth and clean detailing on your woodworking pieces? The WEN Electric Detailing Palm Sander puts reliable sanding right into the palm of your hand. This detail sander allows for the preciseness of sanding by hand with the added efficiency of 13,500 OPM worth of vibrational power. The one-amp motor sands away at abrasive surfaces while the vacuum adapter allows for easy attachment to dust collection devices. Plus, the two-pound lightweight design ensures that your hands never get too tired. The WEN Electric Detailing Palm Sander also comes backed by a one year warranty, a nationwide network of skilled service technicians, a helpful customer service phone line, and includes one sheet of sand paper. Remember when you had the power to sand detailed woodwork all in the palm of your hand? Remember WEN. Palm detail sander. 120V AC, 0.8A. No load speed: 12,000 orbits per minute. Sandpaper size: 5-1/2""x5-1/2""x3-1/8"". WEN 6301SP120 Detailing Palm Sander 120-Grit Hook & Loop Sandpaper (10 Pack) Remember when the surface of your wood had a nice and smooth finish? Replenish the power of your WEN 6301 Electric Detailing Palm Sander with this ten pack of 120-grit sandpaper. The 120-grit abrasive texture of this paper is perfect for material removal and resurfacing, providing maximum performance on a variety of surfaces. The hook-and-loop backing makes for easy installation and removal while the dust hole configuration lines up perfectly with your unit for minimal cleanup after the job.",Corded Palm Sander + Sandpaper (10 Pack)
"PETLIBRO Automatic Cat Feeder, Pet Dry Food Dispenser Triple Preservation with Stainless Steel Bowl & Twist Lock Lid, Up to 50 Portions 6 Meals Per Day, Granary for Small/Medium Pets",https://www.amazon.com/PETLIBRO-PLAF005-Automatic-Cat-Feeder/dp/B0953SDCRG,4.5,US,Pet Supplies > Cats > Feeding & Watering Supplies > Automatic Feeders,https://www.amazon.com/Best-Sellers-Pet-Supplies-Automatic-Cat-Feeders/zgbs/pet-supplies/2975260011/ref=zg_bs_nav_pet-supplies_3_2975259011,B0953SDCRG,1286,Pet Supplies > Cats > Feeding & Watering Supplies > Automatic Feeders,PETLIBRO,"Freshness in Every Bite: Patented rotor on our auto pet food dispenser in the bottom of the tank and the secure twist-lock lid to keep pets from getting food. Built-in desiccant bag and the sealing strip, PETLIBRO Granary pet feeder uses triple seal lock the freshness to keep food fresh and crunchy. | Easy to Set up and Program: PETLIBRO timed cat feeder can set 1-6 meals daily and up to 50 portions per meal (20ml each portion). Use the easy-to-read tilt LED panel to adjust your pet's feeding schedule and monitor battery power. The Granary auto cat feeder is also equipped with a manual feeding button to easily reward your pet (up to 5 portions). | Dual Power Supply: Easily monitor the food level through the clear window and replenish food in time. Besides the USB-C adapter, the automatic dog feeder can also use 3 alkaline D batteries (not included) as a backup power source to ensure that it can be used even if the power goes out, giving you peace of mind when feeding your furry friend. | Personalized Meal Call: Stay close with your pet even you're not at home. PETLIBRO Automatic pet feeder can record a 10-second message, and the number of recordings played can be individually set from 0-5 times, so your pet won't disturb your sleep while your pet eating in the middle of the night. | BPA-free and Easy to Clean: For your pet's health, PETLIBRO feeder and accessories are BPA-free. The tank lid, tank, tank base, and food bowl of PETLIBRO Granary auto cat feeder are removable for thorough cleaning. And the built-in infrared sensor in the food outlet can stop dispensing food when the food outlet is blocked.",Yes - Fulfilled,https://m.media-amazon.com/images/I/71z7K4y4q9L._AC_SY355_.jpg,https://m.media-amazon.com/images/I/81QGYKVskdL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/61nC5vQrEyL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/61tVoTdTqhL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71LLPYSl0bL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81EoPiwemUS._AC_SY355_.jpg | https://m.media-amazon.com/images/I/91pBc9Il+-L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81MomwUycDS._AC_SY355_.jpg,NO,Color: Black | Material: Stainless Steel | Brand: PETLIBRO | Item Dimensions LxWxH: 11.5 x 7.7 x 7.7 inches | Item Weight: 1.9 Kilograms,$79.99 ,$56.09 ,Black,,
"Arm & Hammer Cat Litter Deodorizer, With Baking Soda, 20 oz",https://www.amazon.com/Arm-Hammer-Litter-Deodorizer-Baking/dp/B000V5NVQ4,4.8,US,Pet Supplies > Cats > Litter & Housebreaking > Odor & Stain Removers > Odor Removers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Cat-Odor-Removers/zgbs/pet-supplies/23701644011/ref=zg_bs_nav_pet-supplies_4_2975301011,B000V5NVQ4,14132,Pet Supplies > Cats > Litter & Housebreaking > Odor & Stain Removers > Odor Removers,Arm & Hammer,100% dust free and 50% lighter | Seals and destroys odor your loved one leaves behind | Multi Cat Strength in case you have a house full of cats,Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/81KFWOnRVxL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/51v8EDjURsL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/519UvTJbdJL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/41XcXdpGaSL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81RK4MPMtHL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81bs7NnNN-L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71Go2CnerYL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81yua5KJN3L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71mo+tE5KCL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/711dnUCDr-L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/61kRAYdEkGL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71xG29uYceL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71jawzEiT4L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/512pjAufX2L._AC_SY355_.jpg,NO,,$3.99 ,$2.06 ,,"Finally, a lightweight litter that doesn't act lightweight. is 50% lighter and is 100% dust free. This revolutionary cat litter first seals and then destroys odor on contact with a powerful formula of heavy duty odor eliminators plus Arm & Hammer Baking Soda.",
"Earth Rated Dog Poop Bags, Extra Thick and Strong Poop Bags for Dogs, Guaranteed Leak-proof, 15 Doggy Bags Per Roll, Each Dog Poop Bag Measures 9 x 13 Inches",https://www.amazon.com/Earth-Rated-Guaranteed-Leak-proof-Lavender-scented/dp/B0088LIINY,4.8,US,Pet Supplies > Dogs > Litter & Housebreaking > Pooper Scoopers & Bags > Bags,https://www.amazon.com/Best-Sellers-Pet-Supplies-Dog-Waste-Bags/zgbs/pet-supplies/3052413011/ref=zg_bs_nav_pet-supplies_4_2975411011,B0088LIINY,153579,Pet Supplies > Dogs > Litter & Housebreaking > Pooper Scoopers & Bags > Bags,Earth Rated,"BAG POOP BETTER: 9”x13” doggy bags keep your hands safe, and odor contained. More than enough capacity for large dogs! A customer recently said ""I love these bags - much thicker than the ones you buy at the store. The scent is not overpowering."" | EARTH FIRST, PROFIT SECOND: 120 premium pet poo bags are included in each order. A total of 8 rolls that each include 15 dog bags and a 100% leak-proof guarantee. We use recycled materials in our packaging and roll cores because details matter. | STRESS-FREE WALKS: Poop doesn't smell like roses: Our odor blocking lavender-scent locks in that stank for good without being overpowering. Simple to open and tie securely so you can enjoy a stress-free walk with your best bud. No need to rush! | PAIR WITH DISPENSER: Each bag roll comfortably fits in your pocket, but customers prefer to pair Earth Rated bags with our leash dispenser. Quick and easy access make this an awesome duo! Let us do the heavy lifting while you tackle your walks in style. | HELP US HELP DOGS: We’re more than just poop bags & dog wipes. Not only do we make high-quality, innovative products, but giving back is at the heart of Earth Rated and has been since our founding in 2009. Your purchase goes towards helping us support shelters & rescues, allows us to team up with non-profit organizations and supports fundraisers and adoption events!",Yes - Fulfilled,https://m.media-amazon.com/images/I/716vTTnfVfL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/81Gz5E3ylDL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81HqAJTbuWL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/91R-VjL0sjL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/91BZx-BcUCL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/81xpmIPbgxL._AC_SY355_.jpg,NO,Color: Lavender-scented | Scent: Lavender | Material: Other | Item Dimensions LxWxH: 2.72 x 2.52 x 5.31 inches | Brand: Earth Rated | Item Form: Bag | Item Weight: 9.52 Ounces | Recommended Uses For Product: Animal Waste | Unit Count: 120 Count,$8.99 ,$7.59 ,,,Lavender-Scented
"TERRO T300 Liquid Ant Baits, 6 Bait Stations",https://www.amazon.com/TERRO-T300-Liquid-Ant-Baits/dp/B000HJBKMQ,4.6,US,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Patio-Lawn-Garden/zgbs/lawn-garden/ref=zg_bs_nav_0,B000HJBKMQ,91768,"Patio, Lawn & Garden > Pest Control > Baits & Lures",Terro,"| Kills the ants you see and the ones you don’t | Ready to use – Set the bait, attract ants, and kill the colony | Stay-fresh tab keeps liquid bait fresh until opened | Snap-off design makes it easy to open – No scissors needed | Use bait stations along baseboard, under appliances, on windowsills and wherever ants are numerous",Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/91Sl+I74ypL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/71jKjv8ANAL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ieiP5opsL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ohxudZ7jL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71-iB-C4AWL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71HQMx8R16L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71o5PSdqHXL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71L5xhypNVL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71vSPDm6uVL._AC_SY355_.jpg,NO,,$6.99 ,$4.97 ,,"Product Description TERRO T300 Liquid Ant Baits - 1 Pack. From the Manufacturer The same proven Terro liquid formulation, in a convenient, pre-filled bait station. The patented design eliminates handling of chemicals and prevents drying out.",
"TERRO T300 Liquid Ant Baits, 6 Bait Stations",https://www.amazon.com/TERRO-T300-Liquid-Ant-Baits/dp/B000HJBKMQ,4.6,US,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Patio-Lawn-Garden/zgbs/lawn-garden/ref=zg_bs_nav_0,B000HJBKMQ,91768,"Patio, Lawn & Garden > Pest Control > Baits & Lures",Terro,"| Kills the ants you see and the ones you don’t | Ready to use – Set the bait, attract ants, and kill the colony | Stay-fresh tab keeps liquid bait fresh until opened | Snap-off design makes it easy to open – No scissors needed | Use bait stations along baseboard, under appliances, on windowsills and wherever ants are numerous",Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/91Sl+I74ypL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/71jKjv8ANAL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ieiP5opsL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ohxudZ7jL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71-iB-C4AWL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71HQMx8R16L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71o5PSdqHXL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71L5xhypNVL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71vSPDm6uVL._AC_SY355_.jpg,NO,,$6.99 ,$4.97 ,,"Product Description TERRO T300 Liquid Ant Baits - 1 Pack. From the Manufacturer The same proven Terro liquid formulation, in a convenient, pre-filled bait station. The patented design eliminates handling of chemicals and prevents drying out.",
"TERRO T300 Liquid Ant Baits, 6 Bait Stations",https://www.amazon.com/TERRO-T300-Liquid-Ant-Baits/dp/B000HJBKMQ,4.6,US,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Patio-Lawn-Garden/zgbs/lawn-garden/ref=zg_bs_nav_0,B000HJBKMQ,91768,"Patio, Lawn & Garden > Pest Control > Baits & Lures",Terro,"| Kills the ants you see and the ones you don’t | Ready to use – Set the bait, attract ants, and kill the colony | Stay-fresh tab keeps liquid bait fresh until opened | Snap-off design makes it easy to open – No scissors needed | Use bait stations along baseboard, under appliances, on windowsills and wherever ants are numerous",Yes - Ship and Sold by Amazon,https://m.media-amazon.com/images/I/91Sl+I74ypL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/71jKjv8ANAL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ieiP5opsL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71ohxudZ7jL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71-iB-C4AWL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71HQMx8R16L._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71o5PSdqHXL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71L5xhypNVL._AC_SY355_.jpg | https://m.media-amazon.com/images/I/71vSPDm6uVL._AC_SY355_.jpg,NO,,$6.99 ,$4.97 ,,"Product Description TERRO T300 Liquid Ant Baits - 1 Pack. From the Manufacturer The same proven Terro liquid formulation, in a convenient, pre-filled bait station. The patented design eliminates handling of chemicals and prevents drying out.",
